序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
108,000001,平安银行,金融科技赋能，零售对公协同发展,买入,中银证券,1,,,,,,,银行Ⅱ,2020-12-01,https://pdf.dfcfw.com/pdf/H3_AP202012011434971794_1.pdf
109,000001,平安银行,平安银行：净利润增速回正，资产质量拐点已现,买入,太平洋,1,,,,,,,银行Ⅱ,2020-10-26,https://pdf.dfcfw.com/pdf/H3_AP202010261423632815_1.pdf
110,000001,平安银行,夯实基础促稳健经营，零售发力战略执行坚定,买入,中银证券,1,,,,,,,银行Ⅱ,2020-10-23,https://pdf.dfcfw.com/pdf/H3_AP202010231423191051_1.pdf
111,000001,平安银行,平安银行2020年三季报业绩点评：业绩“V”型反转，支撑估值持续修复,增持,新时代证券,1,,,,,,,银行Ⅱ,2020-10-23,https://pdf.dfcfw.com/pdf/H3_AP202010231423185366_1.pdf
112,000001,平安银行,单季净利润显著回升，资产质量改善超预期,买入,东兴证券,1,,,,,,,银行Ⅱ,2020-10-23,https://pdf.dfcfw.com/pdf/H3_AP202010231423180736_1.pdf
113,000001,平安银行,1-3Q2020业绩点评：3Q净利增速回升，源于资产质量改善反哺,增持,群益证券,1,,,,,,,银行Ⅱ,2020-10-22,https://pdf.dfcfw.com/pdf/H3_AP202010221423056126_1.pdf
114,000001,平安银行,季报点评报告：资产质量好于市场预期,增持,万联证券,1,,,,,,,银行Ⅱ,2020-10-22,https://pdf.dfcfw.com/pdf/H3_AP202010221422985758_1.pdf
115,000001,平安银行,2020年三季报点评：三季报回暖振奋人心，不良率因何大幅下行？,买入,东吴证券,1,,,,,,,银行Ⅱ,2020-10-22,https://pdf.dfcfw.com/pdf/H3_AP202010221422933020_1.pdf
116,000001,平安银行,Profit expansion back on track; Asset quality a bright spot,买入,招银国际,1,,,,,,,银行Ⅱ,2020-10-22,https://pdf.dfcfw.com/pdf/H3_AP202010221422932008_1.pdf
117,000001,平安银行,不良核销力度加大，Q3净息差优化明显,买入,华金证券,1,,,,,,,银行Ⅱ,2020-10-22,https://pdf.dfcfw.com/pdf/H3_AP202010221422931148_1.pdf
